[Wed Apr 28 16:07:22 2021] 379 SIGUSR1 sent, 251 SIRUSR2 sent, 648 SIGUSR1 received, 251 SIGUSR2 received, avg 0.040 sec between SIGUSR1, avg 0.102 sec between SIGUSR2
[Wed Apr 28 16:07:22 2021] 389 SIGUSR1 sent, 251 SIRUSR2 sent, 658 SIGUSR1 received, 251 SIGUSR2 received, avg 0.039 sec between SIGUSR1, avg 0.103 sec between SIGUSR2
[Wed Apr 28 16:07:22 2021] 399 SIGUSR1 sent, 251 SIRUSR2 sent, 668 SIGUSR1 received, 251 SIGUSR2 received, avg 0.039 sec between SIGUSR1, avg 0.103 sec between SIGUSR2
[Wed Apr 28 16:07:22 2021] 409 SIGUSR1 sent, 251 SIRUSR2 sent, 678 SIGUSR1 received, 251 SIGUSR2 received, avg 0.038 sec between SIGUSR1, avg 0.104 sec between SIGUSR2
[Wed Apr 28 16:07:22 2021] 419 SIGUSR1 sent, 251 SIRUSR2 sent, 688 SIGUSR1 received, 251 SIGUSR2 received, avg 0.038 sec between SIGUSR1, avg 0.104 sec between SIGUSR2
[Wed Apr 28 16:07:22 2021] 429 SIGUSR1 sent, 251 SIRUSR2 sent, 698 SIGUSR1 received, 251 SIGUSR2 received, avg 0.038 sec between SIGUSR1, avg 0.105 sec between SIGUSR2
[Wed Apr 28 16:07:23 2021] 430 SIGUSR1 sent, 260 SIRUSR2 sent, 699 SIGUSR1 received, 260 SIGUSR2 received, avg 0.038 sec between SIGUSR1, avg 0.102 sec between SIGUSR2
[Wed Apr 28 16:07:23 2021] 430 SIGUSR1 sent, 270 SIRUSR2 sent, 699 SIGUSR1 received, 270 SIGUSR2 received, avg 0.039 sec between SIGUSR1, avg 0.100 sec between SIGUSR2
[Wed Apr 28 16:07:23 2021] 430 SIGUSR1 sent, 280 SIRUSR2 sent, 699 SIGUSR1 received, 280 SIGUSR2 received, avg 0.039 sec between SIGUSR1, avg 0.097 sec between SIGUSR2
[Wed Apr 28 16:07:24 2021] 435 SIGUSR1 sent, 285 SIRUSR2 sent, 704 SIGUSR1 received, 285 SIGUSR2 received, avg 0.039 sec between SIGUSR1, avg 0.097 sec between SIGUSR2
[Wed Apr 28 16:07:24 2021] 445 SIGUSR1 sent, 285 SIRUSR2 sent, 714 SIGUSR1 received, 285 SIGUSR2 received, avg 0.039 sec between SIGUSR1, avg 0.098 sec between SIGUSR2
[Wed Apr 28 16:07:25 2021] 452 SIGUSR1 sent, 288 SIRUSR2 sent, 721 SIGUSR1 received, 288 SIGUSR2 received, avg 0.040 sec between SIGUSR1, avg 0.099 sec between SIGUSR2
[Wed Apr 28 16:07:25 2021] 452 SIGUSR1 sent, 298 SIRUSR2 sent, 721 SIGUSR1 received, 298 SIGUSR2 received, avg 0.040 sec between SIGUSR1, avg 0.098 sec between SIGUSR2
[Wed Apr 28 16:07:26 2021] 459 SIGUSR1 sent, 301 SIRUSR2 sent, 728 SIGUSR1 received, 301 SIGUSR2 received, avg 0.041 sec between SIGUSR1, avg 0.099 sec between SIGUSR2
